               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.033039,            0.013447,           0.0038666,             0.68246,             0.37775,             0.43861,             0.26978,             0.04024,           0.0091093,            0.013452,            0.001882,            0.001882,            0.001882
                  84,            0.032674,            0.013707,           0.0035453,             0.72959,             0.39925,              0.4415,             0.26984,            0.040024,           0.0090848,            0.012847,            0.001783,            0.001783,            0.001783
                  85,            0.032761,            0.013506,           0.0033835,              0.6492,             0.39072,             0.43582,             0.26648,            0.040377,           0.0091167,            0.012975,            0.001684,            0.001684,            0.001684
                  86,            0.032626,            0.013543,            0.003582,             0.55444,             0.44525,             0.44538,             0.26995,            0.040189,           0.0090225,            0.012865,            0.001585,            0.001585,            0.001585
                  87,            0.032911,            0.013451,           0.0036767,             0.60246,             0.39415,             0.43403,             0.26885,            0.039986,           0.0090439,            0.012592,            0.001486,            0.001486,            0.001486
                  88,            0.032279,            0.013152,           0.0033976,             0.57605,             0.37976,             0.41379,             0.25756,             0.04032,           0.0091404,            0.013052,            0.001387,            0.001387,            0.001387
                  89,            0.032113,            0.013115,           0.0033252,             0.57327,             0.39697,             0.41388,             0.25764,            0.040228,           0.0091727,            0.012936,            0.001288,            0.001288,            0.001288
                  90,            0.032252,             0.01317,           0.0034149,             0.56018,             0.40615,              0.4214,             0.26025,            0.040226,           0.0091164,            0.013161,            0.001189,            0.001189,            0.001189
                  91,            0.031759,             0.01311,           0.0032734,             0.57073,             0.39682,             0.42712,             0.26316,            0.040317,            0.009138,            0.013213,             0.00109,             0.00109,             0.00109
                  92,            0.031741,            0.013149,            0.003126,             0.49714,             0.45817,             0.42975,             0.26575,            0.040031,           0.0091681,            0.013486,            0.000991,            0.000991,            0.000991
                  93,            0.031343,            0.013346,           0.0030971,             0.50334,             0.43406,              0.4258,             0.26444,            0.039874,           0.0091253,            0.013059,            0.000892,            0.000892,            0.000892
                  94,             0.03122,            0.013002,           0.0029623,             0.53649,             0.42266,             0.42548,             0.26442,            0.039864,           0.0091483,            0.013128,            0.000793,            0.000793,            0.000793
                  95,            0.031067,            0.012739,            0.003022,             0.58878,             0.43023,             0.43565,             0.26921,            0.039937,           0.0092058,            0.013085,            0.000694,            0.000694,            0.000694
                  96,            0.030792,            0.012825,           0.0027865,              0.5324,             0.42535,             0.42936,             0.26741,            0.039875,           0.0092215,            0.012946,            0.000595,            0.000595,            0.000595
                  97,            0.030679,            0.012917,           0.0027359,             0.56683,             0.42351,              0.4327,             0.26934,            0.039819,           0.0091963,            0.013113,            0.000496,            0.000496,            0.000496
                  98,            0.030957,            0.012974,           0.0027211,             0.55166,             0.42315,             0.43057,             0.26757,            0.039847,           0.0092039,            0.013191,            0.000397,            0.000397,            0.000397
                  99,            0.030453,            0.012717,           0.0027869,             0.54761,             0.42235,             0.42754,             0.26867,            0.039889,           0.0092107,            0.013232,            0.000298,            0.000298,            0.000298
