   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.64893,             0.30327,              0.3149,             0.18007,            0.045768,           0.0067447,            0.011316,             0.00846,             0.01114,              0.8686,             0.00066,              2.1949,              0.8186,             0.09144,             0.05291,             0.46967,             0.87118,             0.88167,              1.2455,                 0.2,              2.8659,                   0,             0.01601,             0.69476,             0.40204,                   0,             0.14185,             0.55142,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0902
             0.67778,             0.33095,             0.33836,             0.18577,            0.039341,           0.0089985,            0.012881,             0.00882,              0.0102,             0.90984,             0.00051,              2.5205,             0.70651,               0.099,             0.04473,             0.54689,             0.91342,             0.88167,             0.99125,                 0.2,              3.6936,                   0,              0.0135,             0.78429,             0.45696,                   0,             0.09075,             0.55142,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.1937
             0.65613,             0.29602,             0.30479,             0.16949,            0.038488,           0.0045675,            0.012771,             0.00579,             0.01517,             0.90087,             0.00037,                3.02,             0.73708,             0.08013,             0.04392,             0.51725,             0.96729,             0.66259,             0.86953,                 0.2,              2.9535,                   0,             0.01879,             0.75324,             0.45696,                   0,             0.09847,             0.66713,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.6851
             0.68409,             0.34667,             0.35586,             0.20208,            0.042369,           0.0088818,             0.01259,             0.01216,                0.01,             0.86312,             0.00042,              2.4652,             0.80317,             0.09147,               0.046,             0.52733,             0.94957,             0.78896,             0.96343,                 0.2,               4.651,                   0,             0.01766,             0.55808,             0.41734,                   0,             0.10404,             0.46811,                   0,                   0,                   0,                 0.5,             0.89598,                   0,                   0,              2.9441
             0.70126,             0.33913,             0.35212,             0.19838,            0.044895,            0.009895,            0.012242,             0.00788,             0.01088,              0.9192,             0.00056,              2.3319,             0.70651,               0.099,             0.05069,             0.54689,             0.96554,              0.8754,             0.99125,                 0.2,              4.0582,                   0,              0.0135,             0.87076,             0.45696,                   0,             0.09101,             0.65453,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.3689
             0.68087,             0.34241,              0.3477,             0.19849,            0.043467,           0.0070669,           0.0092798,             0.00809,             0.01287,             0.91912,             0.00058,              2.9465,              0.6375,             0.09305,             0.04871,             0.47225,             0.66099,             0.82974,              0.6535,                 0.2,              4.1972,                   0,             0.01381,             0.32979,             0.50104,                   0,             0.06954,              0.5834,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.67091,             0.30653,             0.33242,             0.18683,            0.042677,           0.0081313,            0.009349,             0.00776,             0.01151,             0.93012,             0.00048,              2.7506,             0.94854,             0.09563,             0.05083,             0.37814,             0.88105,              1.1479,              1.0586,                 0.2,              3.0097,                   0,             0.01662,             0.69144,             0.43243,                   0,              0.0837,             0.46939,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.7044
               0.687,             0.32234,             0.33502,             0.19278,            0.037601,           0.0069472,           0.0099428,             0.00982,             0.01012,             0.92195,             0.00041,              2.6913,             0.63787,             0.09755,             0.04313,             0.41677,              0.8841,             0.82925,               1.129,                 0.2,              3.1167,                   0,              0.0173,             0.62269,             0.54512,                   0,              0.0853,             0.49982,                   0,                   0,                   0,                 0.5,             0.96905,                   0,                   0,              3.8187
             0.73618,             0.31394,             0.34836,              0.1971,            0.042824,           0.0089416,            0.010179,             0.00764,             0.01151,             0.93373,             0.00048,              2.1021,             0.93914,             0.09024,             0.04935,             0.42549,              0.8841,              1.2489,              1.0589,                 0.2,              2.9589,                   0,             0.01668,              0.7208,             0.44333,                   0,              0.0853,             0.48218,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.8187
              0.6817,             0.30356,             0.31753,             0.16627,            0.036739,            0.016636,           0.0093016,             0.00956,             0.01184,                0.98,             0.00055,              2.1021,             0.94088,             0.09469,              0.0373,             0.38605,             0.90636,              1.2489,              1.3266,                 0.2,              4.2294,                   0,             0.01989,              0.7208,             0.44333,                   0,             0.07765,               0.334,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.8187
